,incl [deg],c,b,R^2
188,19.8,553.8451104,-0.861400941,0.997520681
189,19.9,552.7873885,-0.860921472,0.997698342
190,20,545.4562629,-0.859024087,0.997860671
191,20.1,549.0023097,-0.859722978,0.997949058
192,20.2,547.3159853,-0.859194454,0.998009375
193,20.3,547.2550855,-0.859028905,0.998121345
194,20.4,542.8475995,-0.857799073,0.998277574
195,20.5,547.4976965,-0.858848759,0.998239528
196,20.6,546.7329308,-0.858508299,0.998353457
197,20.7,543.5300625,-0.857704058,0.998334015
198,20.8,536.354901,-0.855675646,0.998531001
199,20.9,533.1096984,-0.854749725,0.998578257
200,21,533.8486968,-0.854800735,0.998581074
201,21.1,536.6664521,-0.855355025,0.998625568
202,21.2,534.1640668,-0.854719907,0.99864792
203,21.3,529.3506507,-0.853321819,0.998715569
204,21.4,521.8663043,-0.851324449,0.998775382
205,21.5,526.0104193,-0.852281491,0.998768281
206,21.6,523.120201,-0.851416874,0.998805363
207,21.7,522.9606781,-0.851232591,0.99878868
208,21.8,520.0482367,-0.850323774,0.998827424
209,21.9,519.0725888,-0.849991867,0.998838357
210,22,519.8213699,-0.850074899,0.998809408
211,22.1,518.942253,-0.849780794,0.998829917
212,22.2,520.680294,-0.850085183,0.998811062
213,22.3,518.8118713,-0.84943143,0.998814972
214,22.4,519.3788727,-0.849554882,0.998817924
215,22.5,516.9533792,-0.848697577,0.998773891
216,22.6,515.4907663,-0.848211368,0.998760772
217,22.7,514.7069505,-0.847976551,0.998759846
218,22.8,514.0849366,-0.847583858,0.998786644
219,22.9,516.2714354,-0.848026043,0.998764391
220,23,520.7115278,-0.849092385,0.998760327
221,23.1,525.0096832,-0.850012507,0.998787472
222,23.2,526.4610307,-0.85024252,0.998801674
223,23.3,528.351771,-0.850575752,0.998783661
224,23.4,536.2835925,-0.8524343,0.998791193
225,23.5,538.2743677,-0.852757349,0.998823394
226,23.6,538.0119982,-0.852681556,0.9987658
227,23.7,536.7828636,-0.852158894,0.99881769
228,23.8,544.2073413,-0.853858265,0.998839513
229,23.9,543.4155195,-0.853599764,0.998768263
230,24,544.8218804,-0.853789518,0.998790689
231,24.1,550.7300108,-0.855044378,0.998832202
232,24.2,553.5833593,-0.85561734,0.998846933
233,24.3,560.3488751,-0.857194557,0.998768514
234,24.4,560.8767163,-0.857096658,0.998800322
235,24.5,566.311256,-0.858298734,0.998843978
236,24.6,570.1641509,-0.859155233,0.998794328
237,24.7,567.5642453,-0.85837882,0.998816628
238,24.8,572.101846,-0.859361975,0.998835007
239,24.9,571.1379338,-0.85897436,0.998831538
240,25,572.0878319,-0.859091281,0.998814928
241,25.1,574.9751916,-0.859663424,0.998818742
242,25.2,579.0522592,-0.860539487,0.998848095
243,25.3,577.832009,-0.860167595,0.998843306
244,25.4,576.9264229,-0.859861501,0.998768412
245,25.5,579.7126859,-0.860443053,0.998788549
246,25.6,580.6219568,-0.860549219,0.998790206
247,25.7,582.7394263,-0.861030693,0.998785661
248,25.8,584.6468871,-0.861316014,0.998785266
249,25.9,581.2374409,-0.860450004,0.99878128
250,26,583.241234,-0.860860834,0.998746941
251,26.1,585.5052081,-0.861322821,0.998751052
252,26.2,586.7244383,-0.861502796,0.998739315
253,26.3,581.031423,-0.860091205,0.998753968
254,26.4,584.0901117,-0.860767291,0.998740135
255,26.5,580.8880753,-0.859928258,0.998722818
256,26.6,583.6035417,-0.860503994,0.99865564
257,26.7,583.8974976,-0.860523161,0.998672371
258,26.8,580.398732,-0.859584489,0.99867847
259,26.9,582.7669057,-0.860150866,0.998637375
260,27,582.1995588,-0.859938651,0.99860232
261,27.1,579.9131925,-0.859415879,0.998578339
262,27.2,582.4453413,-0.859891316,0.99858769
263,27.3,576.6830478,-0.85846516,0.998521852
264,27.4,575.3478898,-0.858119299,0.998494424
265,27.5,571.1366007,-0.857062153,0.998463674
266,27.6,574.4251838,-0.857842512,0.998433268
267,27.7,569.9243288,-0.85670357,0.998346392
268,27.8,569.1151235,-0.856480649,0.998341127
269,27.9,568.028659,-0.856165299,0.998298822
270,28,566.9408937,-0.855814762,0.998267122
271,28.1,567.0494364,-0.855839838,0.998249866
272,28.2,567.2160577,-0.855768741,0.998221244
273,28.3,565.270341,-0.855326973,0.998169888
274,28.4,561.4397549,-0.854380228,0.998075651
275,28.5,561.8379005,-0.854387713,0.998032226
276,28.6,562.929753,-0.854609581,0.998061261
277,28.7,565.2568729,-0.855123992,0.998022334
278,28.8,563.4431995,-0.854573979,0.998025449
279,28.9,565.0094999,-0.854977259,0.99795343
280,29,561.3736655,-0.854012144,0.997872036
281,29.1,560.6064404,-0.853800634,0.997841974
282,29.2,557.4989362,-0.853030718,0.997776625
283,29.3,556.3138324,-0.852772636,0.997703427
284,29.4,554.0880023,-0.852123718,0.997660908
285,29.5,552.5544446,-0.85172635,0.997632265
286,29.6,555.717029,-0.852384965,0.997645184
287,29.7,555.6737512,-0.852383902,0.997611877
288,29.8,558.4078271,-0.853030375,0.997564065
289,29.9,555.6430732,-0.852253388,0.997540882
290,30,555.7228239,-0.852210814,0.997552664
291,30.1,554.4628809,-0.851900603,0.997515713
292,30.2,552.6283633,-0.851451855,0.997407239
293,30.3,553.4379255,-0.851668115,0.997358732
294,30.4,554.0408293,-0.851671815,0.997383824
295,30.5,555.7468817,-0.851970078,0.997420139
296,30.6,559.4282882,-0.852796708,0.997411246
297,30.7,557.583764,-0.852386547,0.997356129
298,30.8,556.2564686,-0.852075474,0.997269498
299,30.9,558.412876,-0.852501132,0.997348622
300,31,555.3846369,-0.851734974,0.997295895
301,31.1,555.6382876,-0.851783172,0.997273447
302,31.2,556.933017,-0.852050325,0.997214653
303,31.3,555.09469,-0.851609479,0.997137861
304,31.4,553.2599605,-0.851099376,0.997041762
305,31.5,554.3455636,-0.851278348,0.997101519
306,31.6,557.865717,-0.85215433,0.997118095
307,31.7,555.0516631,-0.851465857,0.997040235
308,31.8,554.2257394,-0.851260425,0.996996417
309,31.9,557.9232179,-0.852165862,0.99698029
310,32,553.9951641,-0.851108636,0.996985196
311,32.1,552.2006105,-0.850568717,0.996958645
312,32.2,550.670283,-0.850214595,0.996870596
313,32.3,551.231327,-0.850347245,0.996778563
314,32.4,552.5303335,-0.850653973,0.996706806
315,32.5,551.8915385,-0.850441181,0.996755547
316,32.6,553.0114612,-0.850680969,0.996771964
317,32.7,548.8196206,-0.849575655,0.996760349
318,32.8,551.9995361,-0.850345556,0.996820116
319,32.9,553.1044164,-0.850687085,0.996737446
320,33,550.4642028,-0.85003209,0.996609836
321,33.1,550.077127,-0.849883351,0.996591821
322,33.2,551.7093153,-0.850285573,0.996532042
323,33.3,550.7585192,-0.849977252,0.996501952
324,33.4,550.0953432,-0.849761129,0.996493858
325,33.5,546.8245203,-0.848919593,0.996498088
326,33.6,548.433331,-0.849415533,0.996414446
327,33.7,549.2673472,-0.849628001,0.996417515
328,33.8,551.0386038,-0.850041849,0.996451033
329,33.9,547.6008117,-0.849077473,0.996457263
330,34,550.2265645,-0.849740773,0.996469179
331,34.1,546.4895822,-0.84874104,0.996411353
332,34.2,545.5507089,-0.848521605,0.996271155
333,34.3,546.9808956,-0.848947757,0.996145908
